input->0100011111010100: district: 0, candidate: 1, tally: 125, tag: 0100
input->0111011111100100: district: 0, candidate: 1, tally: 126, tag: 0111
input->0110011111110100: district: 0, candidate: 1, tally: 127, tag: 0110
input->0110100000000100: district: 0, candidate: 1, tally: 128, tag: 0110
input->0111100000010100: district: 0, candidate: 1, tally: 129, tag: 0111
input->0100100000100100: district: 0, candidate: 1, tally: 130, tag: 0100
input->0101100000110100: district: 0, candidate: 1, tally: 131, tag: 0101
input->0010100001000100: district: 0, candidate: 1, tally: 132, tag: 0010
input->0011100001010100: district: 0, candidate: 1, tally: 133, tag: 0011
input->0000100001100100: district: 0, candidate: 1, tally: 134, tag: 0000
input->0001100001110100: district: 0, candidate: 1, tally: 135, tag: 0001
input->1110100010000100: district: 0, candidate: 1, tally: 136, tag: 1110
input->1111100010010100: district: 0, candidate: 1, tally: 137, tag: 1111
input->1100100010100100: district: 0, candidate: 1, tally: 138, tag: 1100
input->1101100010110100: district: 0, candidate: 1, tally: 139, tag: 1101
input->1010100011000100: district: 0, candidate: 1, tally: 140, tag: 1010
input->1011100011010100: district: 0, candidate: 1, tally: 141, tag: 1011
input->1000100011100100: district: 0, candidate: 1, tally: 142, tag: 1000
input->1001100011110100: district: 0, candidate: 1, tally: 143, tag: 1001
input->0111100100000100: district: 0, candidate: 1, tally: 144, tag: 0111
input->0110100100010100: district: 0, candidate: 1, tally: 145, tag: 0110
input->0101100100100100: district: 0, candidate: 1, tally: 146, tag: 0101
input->0100100100110100: district: 0, candidate: 1, tally: 147, tag: 0100
input->0011100101000100: district: 0, candidate: 1, tally: 148, tag: 0011
input->0010100101010100: district: 0, candidate: 1, tally: 149, tag: 0010
input->0001100101100100: district: 0, candidate: 1, tally: 150, tag: 0001
input->0000100101110100: district: 0, candidate: 1, tally: 151, tag: 0000
input->1111100110000100: district: 0, candidate: 1, tally: 152, tag: 1111
input->1110100110010100: district: 0, candidate: 1, tally: 153, tag: 1110
input->1101100110100100: district: 0, candidate: 1, tally: 154, tag: 1101
